sentence,SALES,SUBSCRIPTION,TECHNICAL,BILLING,OTHER,Label
I have a question about the new product features and pricing,1,0,0,0,0,1
Can you provide more details about the subscription plans?,0,1,0,0,0,2
I'm experiencing some technical issues with the software,0,0,1,0,0,3
I need assistance with my billing statement,0,0,0,1,0,4
Do you have a customer service department for inquiries?,1,0,0,0,0,1
How can I cancel my subscription?,0,1,0,0,0,2
I forgot my account password can you help me reset it?,0,0,1,0,0,3
I have a complaint about the service I received,0,0,0,0,1,5
Is there a trial period for the product?,1,0,0,0,0,1
I want to upgrade my current subscription plan,0,1,0,0,0,2
Can I request a demo of the product before purchasing?,1,0,0,0,0,1
What is the duration of the subscription plans?,0,1,0,0,0,2
I'm encountering a bug in the software how can I report it?,0,0,1,0,0,3
I need help understanding the charges on my bill,0,0,0,1,0,4
Is there a dedicated sales team for enterprise customers?,1,0,0,0,0,1
How can I downgrade my current subscription plan?,0,1,0,0,0,2
I'm locked out of my account what should I do?,0,0,1,0,0,3
I'm unsatisfied with the customer support I received,0,0,0,0,1,5
Are there any hidden fees associated with the product?,1,0,0,0,0,1
Can I switch to a different subscription plan mid-cycle?,0,1,0,0,0,2
What is the typical processing time for refunds?,0,0,0,1,0,4
I'm unable to download the latest software update,0,0,1,0,0,3
Do you offer discounts for long-term subscriptions?,1,0,0,0,0,1
Can I transfer my subscription to another user?,0,1,0,0,0,2
How can I update my payment method for the subscription?,0,0,0,1,0,4
Is there a referral program for recommending the product?,1,0,0,0,0,1
I have feedback on the user interface where can I share it?,0,0,0,0,1,5
Can you provide a product demo tailored to my specific needs?,1,0,0,0,0,1
What is the pricing structure for the different subscription tiers?,0,1,0,0,0,2
I'm unable to log in to my account what should I do?,0,0,1,0,0,3
I have a question about a specific charge on my credit card,0,0,0,1,0,4
Is there a dedicated support team for technical issues?,0,0,1,0,0,3
Can I switch from a monthly to an annual subscription?,0,1,0,0,0,2
I accidentally deleted some important data can it be recovered?,0,0,1,0,0,3
I have a suggestion for improving the billing process,0,0,0,1,0,4
Are there any additional fees for accessing certain features?,1,0,0,0,0,1
How can I add more users to my subscription account?,0,1,0,0,0,2
Is there a knowledge base or documentation available for troubleshooting?,0,0,1,0,0,3
I'm having trouble canceling my subscription what should I do?,0,1,0,0,0,2
Do you offer a money-back guarantee if I'm not satisfied?,1,0,0,0,0,1
Can I downgrade my subscription plan without losing any data?,0,1,0,0,0,2
I need to update the billing address associated with my account,0,0,0,1,0,4
Is there a community forum or user group for discussions?,0,0,0,0,1,5
Can I pause my subscription temporarily without canceling it?,0,1,0,0,0,2
I have suggestions for expanding the product's integration capabilities,0,0,0,0,1,5
Can you provide a custom quote for enterprise-level usage?,1,0,0,0,0,1
Is there a trial period for the premium subscription tier?,0,1,0,0,0,2
I'm encountering a compatibility issue with another software,0,0,1,0,0,3
I have a question about the refund policy for unused subscriptions,0,0,0,1,0,4
Do you offer live chat support for immediate assistance?,1,0,0,0,0,1
How can I switch my subscription to a different email address?,0,1,0,0,0,2
I accidentally deleted an important file can it be restored from backup?,0,0,1,0,0,3
I have a suggestion for improving the customer service experience,0,0,0,0,1,5
Are there any discounts available for non-profit organizations?,1,0,0,0,0,1
Can I upgrade my subscription plan in the middle of a billing cycle?,0,1,0,0,0,2
How can I access previous versions of the software for download?,0,0,1,0,0,3
I'm having difficulty understanding the invoice breakdown,0,0,0,1,0,4
Is there an option for a multi-year subscription with discounted pricing?,1,0,0,0,0,1
Can I transfer my subscription to a different product within the same company?,0,1,0,0,0,2
I need to update my credit card information for recurring payments,0,0,0,1,0,4
Is there a user community where I can connect with other users for assistance?,0,0,0,0,1,5
Can I put my subscription on hold while I'm on vacation?,0,1,0,0,0,2
I have ideas for expanding the product's mobile app functionality,0,0,0,0,1,5
Can you provide a product comparison with your competitors?,1,0,0,0,0,1
What is the process for upgrading to a higher-tier subscription plan?,0,1,0,0,0,2
I'm unable to access certain features of the software,0,0,1,0,0,3
I have a question about the tax information on my invoice,0,0,0,1,0,4
Are there any special offers or promotions available currently?,1,0,0,0,0,1
Can I downgrade my subscription plan without losing any data?,0,1,0,0,0,2
I accidentally deleted an important email can it be recovered?,0,0,1,0,0,3
I have feedback on improving the user interface for mobile devices,0,0,0,0,1,5
Is there a discount for educational institutions or students?,1,0,0,0,0,1
Can I change my subscription plan to a family or group plan?,0,1,0,0,0,2
How can I troubleshoot frequent software crashes on my system?,0,0,1,0,0,3
I'm having difficulty reconciling my account statements,0,0,0,1,0,4
Do you offer customization options for the product based on specific needs?,1,0,0,0,0,1
Can I transfer my subscription to another company or organization?,0,1,0,0,0,2
I need to update my payment information for automatic renewals,0,0,0,1,0,4
Is there a user forum where I can ask questions and share ideas?,0,0,0,0,1,5
Can I temporarily upgrade my subscription for a one-time project?,0,1,0,0,0,2
I have suggestions for improving the product's performance and speed,0,0,0,0,1,5
Can you provide case studies or success stories from your existing customers?,1,0,0,0,0,1
What are the available payment methods for subscribing to your service?,0,1,0,0,0,2
I'm experiencing network connectivity issues with the software,0,0,1,0,0,3
I need help understanding the breakdown of taxes on my invoice,0,0,0,1,0,4
Is there a dedicated onboarding process for new customers?,1,0,0,0,0,1
Can I switch from an annual to a monthly subscription?,0,1,0,0,0,2
I accidentally deleted a project can it be recovered from a backup?,0,0,1,0,0,3
I have a suggestion for improving the response time of customer support,0,0,0,0,1,5
Are there any special offers or discounts for loyal customers?,1,0,0,0,0,1
Can I add additional licenses to my current subscription plan?,0,1,0,0,0,2
How can I troubleshoot a recurring error message in the software?,0,0,1,0,0,3
I'm having trouble understanding the currency conversion on my bill,0,0,0,1,0,4
Do you provide personalized training sessions for your product?,1,0,0,0,0,1
Can I transfer my subscription to a colleague within my organization?,0,1,0,0,0,2
I need to update my billing contact information how can I do that?,0,0,0,1,0,4
Is there a user community for sharing tips and best practices?,0,0,0,0,1,5
Can I pause my subscription and resume it at a later date?,0,1,0,0,0,2
I have ideas for integrating your product with other popular tools,0,0,0,0,1,5
Can you provide a product demo specifically for our industry?,1,0,0,0,0,1
What are the options for upgrading or downgrading my subscription plan?,0,1,0,0,0,2
I'm encountering a login error when trying to access the software,0,0,1,0,0,3
I have a question about the prorated charges on my invoice,0,0,0,1,0,4
Is there a dedicated account manager for enterprise customers?,1,0,0,0,0,1
Can I switch my subscription plan to a different product within your suite?,0,1,0,0,0,2
I accidentally cleared my browser cache and lost important data can it be recovered?,0,0,1,0,0,3
I have feedback on improving the user experience for visually impaired users,0,0,0,0,1,5
Are there any seasonal or promotional discounts available?,1,0,0,0,0,1
Can I transfer my subscription to another department within my organization?,0,1,0,0,0,2
How can I troubleshoot integration issues with third-party applications?,0,0,1,0,0,3
I'm having difficulty understanding the itemized charges on my bill,0,0,0,1,0,4
Do you provide on-site training sessions for larger teams?,1,0,0,0,0,1
